gamename,result
Bills Rams 2022,W
Saints Falcons 2022,W
Browns Panthers 2022,W
49ers Bears 2022,W
Steelers Bengals 2022,L
Eagles Lions 2022,W
Colts Texans 2022,L
Patriots Dolphins 2022,W
Ravens Jets 2022,L
Jaguars Commanders 2022,W
Chiefs Cardinals 2022,L
Packers Vikings 2022,L
Giants Titans 2022,L
Raiders Chargers 2022,W
Buccaneers Cowboys 2022,L
Broncos Seahawks 2022,W
Chargers Chiefs 2022,W
Jets Browns 2022,L
Commanders Lions 2022,L
Colts Jaguars 2022,L
Buccaneers Saints 2022,W
Panthers Giants 2022,L
Patriots Steelers 2022,W
Dolphins Ravens 2022,W
Falcons Rams 2022,L
Seahawks 49ers 2022,L
Bengals Cowboys 2022,L
Texans Broncos 2022,W
Cardinals Raiders 2022,L
Bears Packers 2022,L
Titans Bills 2022,L
Vikings Eagles 2022,L
Steelers Browns 2022,L
Saints Panthers 2022,W
Texans Bears 2022,W
Chiefs Colts 2022,W
Bills Dolphins 2022,W
Lions Vikings 2022,L
Ravens Patriots 2022,W
Bengals Jets 2022,L
Raiders Titans 2022,W
Eagles Commanders 2022,W
Jaguars Chargers 2022,L
Rams Cardinals 2022,W
Falcons Seahawks 2022,L
Packers Buccaneers 2022,L
49ers Broncos 2022,W
Cowboys Giants 2022,W
Dolphins Bengals 2022,L
Vikings Saints 2022,W
Browns Falcons 2022,W
Titans Colts 2022,L
Commanders Cowboys 2022,L
Seahawks Lions 2022,L
Chargers Texans 2022,W
Bears Giants 2022,L
Jaguars Eagles 2022,L
Jets Steelers 2022,W
Bills Ravens 2022,W
Cardinals Panthers 2022,W
Patriots Packers 2022,L
Broncos Raiders 2022,L
Chiefs Buccaneers 2022,L
Rams 49ers 2022,W
Colts Broncos 2022,L
Giants Packers 2022,L
Steelers Bills 2022,L
Chargers Browns 2022,L
Texans Jaguars 2022,W
Bears Vikings 2022,L
Seahawks Saints 2022,L
Lions Patriots 2022,L
Dolphins Jets 2022,L
Falcons Buccaneers 2022,L
Titans Commanders 2022,W
49ers Panthers 2022,W
Eagles Cardinals 2022,W
Cowboys Rams 2022,L
Bengals Ravens 2022,L
Raiders Chiefs 2022,W
Commanders Bears 2022,W
49ers Falcons 2022,W
Patriots Browns 2022,L
Jaguars Colts 2022,W
Jets Packers 2022,L
Vikings Dolphins 2022,W
Bengals Saints 2022,W
Ravens Giants 2022,W
Buccaneers Steelers 2022,W
Panthers Rams 2022,L
Cardinals Seahawks 2022,W
Bills Chiefs 2022,W
Cowboys Eagles 2022,L
Broncos Chargers 2022,L
Saints Cardinals 2022,L
Buccaneers Panthers 2022,W
Falcons Bengals 2022,L
Lions Cowboys 2022,L
Giants Jaguars 2022,L
Colts Titans 2022,L
Browns Ravens 2022,W
Packers Commanders 2022,W
Jets Broncos 2022,W
Texans Raiders 2022,L
Seahawks Chargers 2022,L
Chiefs 49ers 2022,W
Steelers Dolphins 2022,L
Bears Patriots 2022,L
Ravens Buccaneers 2022,W
Broncos Jaguars 2022,L
Panthers Falcons 2022,W
Bears Cowboys 2022,L
Dolphins Lions 2022,L
Cardinals Vikings 2022,L
Raiders Saints 2022,W
Patriots Jets 2022,L
Steelers Eagles 2022,L
Titans Texans 2022,L
Commanders Colts 2022,L
49ers Rams 2022,L
Giants Seahawks 2022,L
Packers Bills 2022,L
Bengals Browns 2022,L
Eagles Texans 2022,W
Chargers Falcons 2022,W
Dolphins Bears 2022,W
Panthers Bengals 2022,L
Packers Lions 2022,W
Raiders Jaguars 2022,W
Colts Patriots 2022,L
Bills Jets 2022,W
Vikings Commanders 2022,W
Seahawks Cardinals 2022,L
Rams Buccaneers 2022,W
Titans Chiefs 2022,W
Ravens Saints 2022,L
Falcons Panthers 2022,L
Seahawks Buccaneers 2022,L
Vikings Bills 2022,L
Lions Bears 2022,W
Jaguars Chiefs 2022,W
Browns Dolphins 2022,W
Texans Giants 2022,W
Broncos Titans 2022,L
Saints Steelers 2022,L
Colts Raiders 2022,L
Cowboys Packers 2022,L
Cardinals Rams 2022,L
Chargers 49ers 2022,W
Commanders Eagles 2022,L
Titans Packers 2022,L
Bears Falcons 2022,W
Browns Bills 2022,L
Eagles Colts 2022,W
Commanders Texans 2022,L
Rams Saints 2022,W
Jets Patriots 2022,L
Lions Giants 2022,W
Panthers Ravens 2022,L
Raiders Broncos 2022,W
Cowboys Vikings 2022,L
Chiefs Chargers 2022,L
Bengals Steelers 2022,W
49ers Cardinals 2022,L
Bills Lions 2022,W
Giants Cowboys 2022,L
Patriots Vikings 2022,L
Broncos Panthers 2022,W
Buccaneers Browns 2022,L
Ravens Jaguars 2022,L
Texans Dolphins 2022,W
Bears Jets 2022,L
Bengals Titans 2022,W
Falcons Commanders 2022,L
Chargers Cardinals 2022,W
Raiders Seahawks 2022,W
Rams Chiefs 2022,W
Saints 49ers 2022,L
Packers Eagles 2022,L
Steelers Colts 2022,W
Bills Patriots 2022,W
Steelers Falcons 2022,L
Packers Bears 2022,W
Jaguars Lions 2022,W
Browns Texans 2022,W
Jets Vikings 2022,L
Commanders Giants 2022,W
Titans Eagles 2022,L
Broncos Ravens 2022,L
Seahawks Rams 2022,L
Dolphins 49ers 2022,L
Chiefs Bengals 2022,L
Chargers Raiders 2022,L
Colts Cowboys 2022,W
Saints Buccaneers 2022,L
Raiders Rams 2022,L
Jets Bills 2022,L
Browns Bengals 2022,W
Texans Cowboys 2022,L
Vikings Lions 2022,W
Eagles Giants 2022,W
Jaguars Titans 2022,W
Ravens Steelers 2022,W
Dolphins Chargers 2022,L
Panthers Seahawks 2022,L
Buccaneers 49ers 2022,L
Chiefs Broncos 2022,W
Patriots Cardinals 2022,L
49ers Seahawks 2022,W
Dolphins Bills 2022,L
Steelers Panthers 2022,W
Eagles Bears 2022,W
Ravens Browns 2022,L
Chiefs Texans 2022,L
Cowboys Jaguars 2022,W
Colts Vikings 2022,L
Falcons Saints 2022,L
Lions Jets 2022,L
Giants Commanders 2022,L
Cardinals Broncos 2022,W
Titans Chargers 2022,L
Bengals Buccaneers 2022,L
Patriots Raiders 2022,L
Rams Packers 2022,W
Jaguars Jets 2022,W
Lions Panthers 2022,W
Bills Bears 2022,W
Saints Browns 2022,L
Seahawks Chiefs 2022,W
Giants Vikings 2022,L
Bengals Patriots 2022,L
Texans Titans 2022,W
Falcons Ravens 2022,L
Commanders 49ers 2022,L
Eagles Cowboys 2022,W
Raiders Steelers 2022,W
Packers Dolphins 2022,W
Broncos Rams 2022,L
Buccaneers Cardinals 2022,W
Chargers Colts 2022,W
Cowboys Titans 2022,W
Cardinals Falcons 2022,W
Bears Lions 2022,L
Jaguars Texans 2022,L
Broncos Chiefs 2022,L
Dolphins Patriots 2022,L
Colts Giants 2022,W
Saints Eagles 2022,L
Steelers Ravens 2022,L
Panthers Buccaneers 2022,L
Browns Commanders 2022,W
49ers Raiders 2022,L
Jets Seahawks 2022,W
Vikings Packers 2022,W
Rams Chargers 2022,W
Bills Bengals 2022,W
Buccaneers Falcons 2022,W
Patriots Bills 2022,L
Vikings Bears 2022,W
Ravens Bengals 2022,W
Texans Colts 2022,W
Chargers Broncos 2022,W
Lions Packers 2022,L
Titans Jaguars 2022,L
Jets Dolphins 2022,W
Panthers Saints 2022,L
Giants Eagles 2022,L
Browns Steelers 2022,W
Chiefs Raiders 2022,L
Rams Seahawks 2022,W
Cardinals 49ers 2022,W
Cowboys Commanders 2022,W
