Team,Position,Rating
Rams,QB,85
Rams,HB,83
Rams,WR1,98
Rams,WR2,82
Rams,WR3,78
Rams,TE,83
Rams,LT,71
Rams,LG,75
Rams,C,71
Rams,RG,66
Rams,RT,85
Rams,DT,77
Rams,LE,75
Rams,RE,99
Rams,LOLB,80
Rams,MLB,91
Rams,ROLB,72
Rams,FS,76
Rams,SS,78
Rams,CB1,98
Rams,CB2,78
Rams,K,79
Rams,P,70
Cardinals,QB,84
Cardinals,HB,81
Cardinals,WR1,96
Cardinals,WR2,84
Cardinals,WR3,80
Cardinals,TE,84
Cardinals,LT,75
Cardinals,LG,79
Cardinals,C,89
Cardinals,RG,72
Cardinals,RT,73
Cardinals,DT,68
Cardinals,LE,87
Cardinals,RE,72
Cardinals,LOLB,78
Cardinals,MLB,78
Cardinals,ROLB,74
Cardinals,FS,79
Cardinals,SS,92
Cardinals,CB1,82
Cardinals,CB2,70
Cardinals,K,78
Cardinals,P,74
49ers,QB,72
49ers,HB,80
49ers,WR1,89
49ers,WR2,81
49ers,WR3,72
49ers,TE,97
49ers,LT,99
49ers,LG,67
49ers,C,56
49ers,RG,66
49ers,RT,79
49ers,DT,75
49ers,LE,86
49ers,RE,94
49ers,LOLB,73
49ers,MLB,94
49ers,ROLB,78
49ers,FS,87
49ers,SS,87
49ers,CB1,81
49ers,CB2,80
49ers,K,80
49ers,P,77
Seahawks,QB,66
Seahawks,HB,83
Seahawks,WR1,90
Seahawks,WR2,89
Seahawks,WR3,74
Seahawks,TE,82
Seahawks,LT,73
Seahawks,LG,72
Seahawks,C,72
Seahawks,RG,78
Seahawks,RT,66
Seahawks,DT,78
Seahawks,LE,77
Seahawks,RE,76
Seahawks,LOLB,75
Seahawks,MLB,82
Seahawks,ROLB,73
Seahawks,FS,84
Seahawks,SS,90
Seahawks,CB1,77
Seahawks,CB2,74
Seahawks,K,73
Seahawks,P,82
Falcons,QB,71
Falcons,HB,85
Falcons,WR1,77
Falcons,WR2,75
Falcons,WR3,75
Falcons,TE,87
Falcons,LT,81
Falcons,LG,69
Falcons,C,73
Falcons,RG,84
Falcons,RT,71
Falcons,DT,64
Falcons,LE,68
Falcons,RE,85
Falcons,LOLB,72
Falcons,MLB,82
Falcons,ROLB,73
Falcons,FS,73
Falcons,SS,71
Falcons,CB1,89
Falcons,CB2,87
Falcons,K,82
Falcons,P,64
Buccaneers,QB,97
Buccaneers,HB,87
Buccaneers,WR1,92
Buccaneers,WR2,89
Buccaneers,WR3,78
Buccaneers,TE,72
Buccaneers,LT,76
Buccaneers,LG,68
Buccaneers,C,90
Buccaneers,RG,87
Buccaneers,RT,91
Buccaneers,DT,93
Buccaneers,LE,76
Buccaneers,RE,84
Buccaneers,LOLB,88
Buccaneers,MLB,92
Buccaneers,ROLB,72
Buccaneers,FS,87
Buccaneers,SS,80
Buccaneers,CB1,82
Buccaneers,CB2,82
Buccaneers,K,73
Buccaneers,P,73
Panthers,QB,77
Panthers,HB,96
Panthers,WR1,88
Panthers,WR2,82
Panthers,WR3,73
Panthers,TE,71
Panthers,LT,76
Panthers,LG,67
Panthers,C,74
Panthers,RG,76
Panthers,RT,83
Panthers,DT,81
Panthers,LE,86
Panthers,RE,73
Panthers,LOLB,71
Panthers,MLB,74
Panthers,ROLB,84
Panthers,FS,77
Panthers,SS,82
Panthers,CB1,81
Panthers,CB2,75
Panthers,K,75
Panthers,P,82
Saints,QB,76
Saints,HB,90
Saints,WR1,90
Saints,WR2,83
Saints,WR3,77
Saints,TE,72
Saints,LT,72
Saints,LG,74
Saints,C,79
Saints,RG,72
Saints,RT,89
Saints,DT,80
Saints,LE,91
Saints,RE,82
Saints,LOLB,66
Saints,MLB,93
Saints,ROLB,76
Saints,FS,83
Saints,SS,94
Saints,CB1,91
Saints,CB2,79
Saints,K,78
Saints,P,77
Ravens,QB,87
Ravens,HB,81
Ravens,WR1,77
Ravens,WR2,73
Ravens,WR3,69
Ravens,TE,93
Ravens,LT,90
Ravens,LG,69
Ravens,C,74
Ravens,RG,85
Ravens,RT,75
Ravens,DT,88
Ravens,LE,73
Ravens,RE,87
Ravens,LOLB,79
Ravens,MLB,75
Ravens,ROLB,78
Ravens,FS,86
Ravens,SS,78
Ravens,CB1,90
Ravens,CB2,86
Ravens,K,90
Ravens,P,73
Bills,QB,92
Bills,HB,81
Bills,WR1,95
Bills,WR2,80
Bills,WR3,80
Bills,TE,83
Bills,LT,83
Bills,LG,80
Bills,C,79
Bills,RG,71
Bills,RT,68
Bills,DT,75
Bills,LE,76
Bills,RE,92
Bills,LOLB,68
Bills,MLB,84
Bills,ROLB,81
Bills,FS,91
Bills,SS,90
Bills,CB1,93
Bills,CB2,82
Bills,K,77
Bills,P,74
Bears,QB,74
Bears,HB,84
Bears,WR1,79
Bears,WR2,75
Bears,WR3,74
Bears,TE,75
Bears,LT,72
Bears,LG,80
Bears,C,65
Bears,RG,73
Bears,RT,58
Bears,DT,73
Bears,LE,75
Bears,RE,83
Bears,LOLB,70
Bears,MLB,71
Bears,ROLB,89
Bears,FS,83
Bears,SS,73
Bears,CB1,82
Bears,CB2,75
Bears,K,77
Bears,P,69
Bengals,QB,90
Bengals,HB,93
Bengals,WR1,87
Bengals,WR2,84
Bengals,WR3,83
Bengals,TE,76
Bengals,LT,78
Bengals,LG,69
Bengals,C,75
Bengals,RG,75
Bengals,RT,87
Bengals,DT,84
Bengals,LE,75
Bengals,RE,85
Bengals,LOLB,63
Bengals,MLB,65
Bengals,ROLB,83
Bengals,FS,90
Bengals,SS,82
Bengals,CB1,85
Bengals,CB2,82
Bengals,K,83
Bengals,P,83
Browns,QB,70
Browns,HB,96
Browns,WR1,90
Browns,WR2,77
Browns,WR3,74
Browns,TE,80
Browns,LT,80
