"Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"ARI","@TEN","MIN","@JAX","@LAR","SF","@CLE","HOU","GB","@SF","CAR","@SEA","BYE","@CHI","LAR","@DET","IND","@DAL","SEA"
"ATL","PHI","@TB","@NYG","WAS","NYJ","BYE","@MIA","CAR","@NO","@DAL","NE","@JAX","TB","@CAR","@SF","DET","@BUF","NO"
"BAL","@LV","KC","@DET","@DEN","IND","LAC","CIN","BYE","MIN","@MIA","@CHI","CLE","@PIT","@CLE","GB","@CIN","LAR","PIT"
"BUF","PIT","@MIA","WAS","HOU","@KC","@TEN","BYE","MIA","@JAX","@NYJ","IND","@NO","NE","@TB","CAR","@NE","ATL","NYJ"
"CAR","NYJ","NO","@HOU","@DAL","PHI","MIN","@NYG","@ATL","NE","@ARI","WAS","@MIA","BYE","ATL","@BUF","TB","@NO","@TB"
"CHI","@LAR","CIN","@CLE","DET","@LV","GB","@TB","SF","@PIT","BYE","BAL","@DET","ARI","@GB","MIN","@SEA","NYG","@MIN"
"CIN","MIN","@CHI","@PIT","JAX","GB","@DET","@BAL","@NYJ","CLE","BYE","@LV","PIT","LAC","SF","@DEN","BAL","KC","@CLE"
"CLE","@KC","HOU","CHI","@MIN","@LAC","ARI","DEN","PIT","@CIN","@NE","DET","@BAL","BYE","BAL","LV","@GB","@PIT","CIN"
"DAL","@TB","@LAC","PHI","CAR","NYG","@NE","BYE","@MIN","DEN","ATL","@KC","LV","@NO","@WAS","@NYG","WAS","ARI","@PHI"
"DEN","@NYG","@JAX","NYJ","BAL","@PIT","LV","@CLE","WAS","@DAL","PHI","BYE","LAC","@KC","DET","CIN","@LV","@LAC","KC"
"DET","SF","@GB","BAL","@CHI","@MIN","CIN","@LAR","PHI","BYE","@PIT","@CLE","CHI","MIN","@DEN","ARI","@ATL","@SEA","GB"
"GB","@NO","DET","@SF","PIT","@CIN","@CHI","WAS","@ARI","@KC","SEA","@MIN","LAR","BYE","CHI","@BAL","CLE","MIN","@DET"
"HOU","JAX","@CLE","CAR","@BUF","NE","@IND","@ARI","LAR","@MIA","BYE","@TEN","NYJ","IND","SEA","@JAX","LAC","@SF","TEN"
"IND","SEA","LAR","@TEN","@MIA","@BAL","HOU","@SF","TEN","NYJ","JAX","@BUF","TB","@HOU","BYE","NE","@ARI","LV","@JAX"
"JAX","@HOU","DEN","ARI","@CIN","TEN","MIA","BYE","@SEA","BUF","@IND","SF","ATL","@LAR","@TEN","HOU","@NYJ","@NE","IND"
"KC","CLE","@BAL","LAC","@PHI","BUF","@WAS","@TEN","NYG","GB","@LV","DAL","BYE","DEN","LV","@LAC","PIT","@CIN","@DEN"
"LAC","@WAS","DAL","@KC","LV","CLE","@BAL","BYE","NE","@PHI","MIN","PIT","@DEN","@CIN","NYG","KC","@HOU","DEN","@LV"
"LAR","CHI","@IND","TB","ARI","@SEA","@NYG","DET","@HOU","TEN","@SF","BYE","@GB","JAX","@ARI","SEA","@MIN","@BAL","SF"
"LV","BAL","@PIT","MIA","@LAC","CHI","@DEN","PHI","BYE","@NYG","KC","CIN","@DAL","WAS","@KC","@CLE","DEN","@IND","LAC"
"MIA","@NE","BUF","@LV","IND","@TB","@JAX","ATL","@BUF","HOU","BAL","@NYJ","CAR","NYG","BYE","NYJ","@NO","@TEN","NE"
"MIN","@CIN","@ARI","SEA","CLE","DET","@CAR","BYE","DAL","@BAL","@LAC","GB","@SF","@DET","PIT","@CHI","LAR","@GB","CHI"
"NE","MIA","@NYJ","NO","TB","@HOU","DAL","NYJ","@LAC","@CAR","CLE","@ATL","TEN","@BUF","BYE","@IND","BUF","JAX","@MIA"
"NO","GB","@CAR","@NE","NYG","@WAS","BYE","@SEA","TB","ATL","@TEN","@PHI","BUF","DAL","@NYJ","@TB","MIA","CAR","@ATL"
"NYG","DEN","@WAS","ATL","@NO","@DAL","LAR","CAR","@KC","LV","BYE","@TB","PHI","@MIA","@LAC","DAL","@PHI","@CHI","WAS"
"NYJ","@CAR","NE","@DEN","TEN","@ATL","BYE","@NE","CIN","@IND","BUF","MIA","@HOU","PHI","NO","@MIA","JAX","TB","@BUF"
"PHI","@ATL","SF","@DAL","KC","@CAR","TB","@LV","@DET","LAC","@DEN","NO","@NYG","@NYJ","BYE","WAS","NYG","@WAS","DAL"
"PIT","@BUF","LV","CIN","@GB","DEN","SEA","BYE","@CLE","CHI","DET","@LAC","@CIN","BAL","@MIN","TEN","@KC","CLE","@BAL"
"SEA","@IND","TEN","@MIN","@SF","LAR","@PIT","NO","JAX","BYE","@GB","ARI","@WAS","SF","@HOU","@LAR","CHI","DET","@ARI"
"SF","@DET","@PHI","GB","SEA","@ARI","BYE","IND","@CHI","ARI","LAR","@JAX","MIN","@SEA","@CIN","ATL","@TEN","HOU","@LAR"
"TB","DAL","ATL","@LAR","@NE","MIA","@PHI","CHI","@NO","BYE","@WAS","NYG","@IND","@ATL","BUF","NO","@CAR","@NYJ","CAR"
"TEN","ARI","@SEA","IND","@NYJ","@JAX","BUF","KC","@IND","@LAR","NO","HOU","@NE","BYE","JAX","@PIT","SF","MIA","@HOU"
"WAS","LAC","NYG","@BUF","@ATL","NO","KC","@GB","@DEN","BYE","TB","@CAR","SEA","@LV","DAL","@PHI","@DAL","PHI","@NYG"
